"Handle","URL","Current Title","Current Description (first 200 chars)","Current Meta Description","Has JSON-LD","JSON-LD Type","Has Brand in JSON-LD","Has Reviews in JSON-LD","Has Offers in JSON-LD","Tag Count","Variant Count","Image Count","Recommended Title","Recommended Meta Description","Optimization Notes"
"vital-microair-performance-mesh-t-shirt-2","https://tascperformance.com/products/vital-microair-performance-mesh-t-shirt-2","Vital MicroAir Performance Mesh T-Shirt","Engineered for maximum airflow, the Vital MicroAir Mesh T-Shirt is made with innovative micro-spun tree silk that creates space between fabric and skin for unmatched breathability. Lightweight, quick-","The Vital MicroAir Mesh T-Shirt Meadowbrook Heather is made with micro-spun tree silk that creates space between fabric and skin for unmatched breathability.","Yes","Product","Yes","No","Yes","37","5","5","","","Add reviews/ratings to JSON-LD"
"vital-microair-performance-mesh-t-shirt-1","https://tascperformance.com/products/vital-microair-performance-mesh-t-shirt-1","Vital MicroAir Performance Mesh T-Shirt","Engineered for maximum airflow, the Vital MicroAir Mesh T-Shirt is made with innovative micro-spun tree silk that creates space between fabric and skin for unmatched breathability. Lightweight, quick-","The Vital MicroAir Mesh T-Shirt Anchor Heather is made with micro-spun tree silk that creates space between fabric and skin for unmatched breathability.","Yes","Product","Yes","No","Yes","37","5","5","","","Add reviews/ratings to JSON-LD"
"vital-microair-performance-mesh-t-shirt","https://tascperformance.com/products/vital-microair-performance-mesh-t-shirt","Vital MicroAir Performance Mesh T-Shirt","Engineered for maximum airflow, the Vital MicroAir Mesh T-Shirt is made with innovative micro-spun tree silk that creates space between fabric and skin for unmatched breathability. Lightweight, quick-","The Vital MicroAir Mesh T-Shirt Black is made with innovative micro-spun tree silk that creates space between fabric and skin for unmatched breathability.","Yes","Product","Yes","No","Yes","38","5","5","","","Add reviews/ratings to JSON-LD"
"bambare-v-neck-3-pack","https://tascperformance.com/products/bambare-v-neck-3-pack","BamBare V-Neck 3 Pack","An undershirt that over-performs. Anything but your standard undershirt, the BamBare V-Neck Undershirt is prepared to carry you through your day. It's an essential closet staple - layer it under a but","  An undershirt that over-performs. Anything but your standard undershirt, the BamBare V-Neck Undershirt is prepared to carry you through your day.  It's an essential closet staple - layer it under a button down or sport it for your next workout. Our bamboo fabric provides anti-odor and moisture-wicking protection with","Yes","Product","Yes","No","Yes","30","5","3","","","Add reviews/ratings to JSON-LD; Title may be too short"
"carrollton-1-4-zip-classic-navy","https://tascperformance.com/products/carrollton-1-4-zip-classic-navy","Carrollton Lightweight Quarter Zip","Made from a fabric that is optimized for any activity, the Carrollton Lightweight Quarter Zip performs exceptionally. This lightweight layer is made to transition from season to season and activity to","The Carrollton Quarter Zip: Navy. Made to transition from season to season and activity to activity. Moisture wicking, breathable, anti-odor, and comfortable.","Yes","Product","Yes","No","Yes","37","5","6","","","Add reviews/ratings to JSON-LD"
"recess-quarter-zip-black","https://tascperformance.com/products/recess-quarter-zip-black","Recess Quarter Zip","This take anywhere, wear everywhere, do everything essential quarter zip pullover is made for those on the move- throw it on with some leggings or put it through your hardest workout. While this quart","This take anywhere, wear everywhere, do everything essential quarter zip pullover is made for those on the move- throw it on with some leggings or put it through your hardest workout. While this quarter zip looks like your favorite closet essential pullover, don’t let it fool you. It has the same qualities and function","Yes","Product","Yes","No","Yes","40","5","3","","","Add reviews/ratings to JSON-LD; Title may be too short"
"unstoppable-soft-quilt-hooded-tunic","https://tascperformance.com/products/unstoppable-soft-quilt-hooded-tunic","Unstoppable Soft Quilt Hooded Tunic","The Unstoppable Tunic Hoodie is where comfort meets style. Crafted with a soft knit quilted fabric and light fill, it delivers the perfect balance of warmth and breathability. Infused with our signatu","The Unstoppable Tunic Hoodie is where comfort meets style. Crafted with a soft knit quilted fabric and light fill, it delivers the perfect balance of warmth and breathability. Infused with our signature bamboo softness, this cozy layer keeps you warm without the weight. Designed with an asymmetrical hem that’s longer i","Yes","Product","Yes","No","Yes","29","5","5","","","Add reviews/ratings to JSON-LD"
"longline-t-shirt-9","https://tascperformance.com/products/longline-t-shirt-9","Longline T-Shirt","This super-soft longline shirt is a versatile addition to your wardrobe. With its understated design cues and outstanding performance capabilities, this longline t-shirt (also known as a longline tee)","This super-soft longline shirt is a versatile addition to your wardrobe. With its outstanding performance capabilities, it's perfect for any activity.","Yes","Product","Yes","No","Yes","37","5","3","","","Add reviews/ratings to JSON-LD; Title may be too short"
"stadium-french-terry-sweatpant-3","https://tascperformance.com/products/stadium-french-terry-sweatpant-3","Stadium French Terry Sweatpant","The Stadium French Terry Jogger is a fresh take on a classic—soft, structured, and made to move. Crafted from ultra-comfortable diagonal French Terry, it delivers that lived-in feel from day one, whil","Crafted from ultra-comfortable diagonal French Terry, these joggers deliver lived-in feel from day one, while elastic cuffs add just the right amount of polish.","Yes","Product","Yes","No","Yes","30","5","4","","","Add reviews/ratings to JSON-LD"
"stadium-french-terry-sweatshirt-w-5","https://tascperformance.com/products/stadium-french-terry-sweatshirt-w-5","Stadium French Terry Sweatshirt W","Meet your new off-duty favorite. The Stadium French Terry Sweatshirt brings a heritage-inspired look to modern comfort with a perfectly broken-in feel. Crafted from ultra-soft diagonal French Terry, i","Crafted from ultra-soft diagonal French Terry, the Stadium French Terry Sweatshirt brings a heritage-inspired look to modern comfort with a broken-in feel.","Yes","Product","Yes","No","Yes","30","5","5","","","Add reviews/ratings to JSON-LD"
"clubhouse-french-terry-sweatshirt-7","https://tascperformance.com/products/clubhouse-french-terry-sweatshirt-7","Clubhouse French Terry Sweatshirt","Style meets comfort with the Clubhouse Sweatshirt. Crafted for cozy days and casual outings, it's soft, chic, and easy to wear. Elevate your everyday look with this must-have wardrobe essential. Style","Style meets comfort with the Clubhouse Sweatshirt. Crafted for cozy days and casual outings, it's soft, chic, and easy to wear.","Yes","Product","No","Yes","Yes","33","5","4","","","Add brand to JSON-LD"
"microluxe-rib-tank-11","https://tascperformance.com/products/microluxe-rib-tank-11","MicroLuxe Rib Tank","It’s a softness you have to feel to believe - meet the MicroLuxe Tank. We created the ultimate wear-anywhere, goes-with-everything essential tank that’s as luxuriously soft as it is versatile. Created","It’s a softness you have to feel to believe - meet the MicroLuxe Tank. We created the ultimate wear-anywhere, goes-with-everything essential tank.","Yes","Product","Yes","No","Yes","39","5","4","","","Add reviews/ratings to JSON-LD; Title may be too short"
"recess-lightweight-hoodie-stripe","https://tascperformance.com/products/recess-lightweight-hoodie-stripe","Recess Lightweight Hoodie - Stripe","The new wear-anywhere, do-everything Recess Hoodie is made for those on the move. It's perfect layer for high-intensity workouts or paired with leggings or shorts for weekend casual look - it's the es","The Recess Hoodie is made for those on the move. It's perfect layer for high-intensity workouts or paired with leggings or shorts for weekend casual look.","Yes","Product","Yes","No","Yes","45","5","3","","","Add reviews/ratings to JSON-LD"
"recess-lightweight-hoodie-12","https://tascperformance.com/products/recess-lightweight-hoodie-12","Recess Lightweight Hoodie","The new wear-anywhere, do-everything Recess Hoodie is made for those on the move. It's perfect layer for high-intensity workouts or paired with leggings or shorts for weekend casual look - it's the es","The Recess Hoodie is made for those on the move. It's perfect layer for high-intensity workouts or paired with leggings or shorts for weekend casual look.","Yes","Product","Yes","No","Yes","40","5","4","","","Add reviews/ratings to JSON-LD; Title may be too short"
"stadium-french-terry-sweatshirt-6","https://tascperformance.com/products/stadium-french-terry-sweatshirt-6","Stadium French Terry Sweatshirt","Elevate your everyday comfort with the Stadium French Terry Sweatshirt. Crafted from soft diagonal French terry, it’s designed for a relaxed fit with a fitted bottom band for a polished finish. This s","Stadium French Terry Sweatshirt Anchor Heather- Spruce Heather. Crafted from soft diagonal French terry, it’s designed for a relaxed fit with a polished finish.","Yes","Product","Yes","No","Yes","32","5","3","","","Add reviews/ratings to JSON-LD"
"stadium-french-terry-quarter-zip-2","https://tascperformance.com/products/stadium-french-terry-quarter-zip-2","Stadium French Terry Quarter Zip","The Stadium Quarter Zip is where classic design meets modern comfort. Made from soft diagonal French terry, this versatile layer adds a refined look to your outfit. The open bottom with side splits an","The Stadium Quarter Zip is where classic design meets modern comfort. Made from diagonal French terry, this versatile layer adds a refined look to your outfit.","Yes","Product","No","Yes","Yes","32","5","4","","","Add brand to JSON-LD"
"pimaluxe-t-shirt-8","https://tascperformance.com/products/pimaluxe-t-shirt-8","Pimaluxe T-Shirt","It's your classic, clean-cut t-shirt, elevated for everyday sophistication - meet the Pimaluxe T-Shirt. Crafted from the same signature bamboo fabrication you love and enhanced with ultra soft pima co","It's your classic t-shirt, elevated for everyday-crafted from the same signature bamboo fabrication you love and enhanced with ultra soft pima cotton.","Yes","Product","No","Yes","Yes","32","5","3","","","Add brand to JSON-LD; Title may be too short"
"carrollton-classic-pant-4","https://tascperformance.com/products/carrollton-classic-pant-4","Carrollton Classic Pant","Your favorite everyday pant just got an upgrade - meet the NEW Carrollton Classic Pant. Looking for that luxuriously soft lived-in feel with enhanced performance to match? Look no further. We replaced","The Carrollton Classic Pant Anchor. Luxuriously soft lived-in feel with enhanced performance to match. Functional, comfortable, and extremely versatile.","Yes","Product","Yes","No","Yes","29","5","2","","","Add reviews/ratings to JSON-LD; Title may be too short"
"carrollton-classic-short-3","https://tascperformance.com/products/carrollton-classic-short-3","Carrollton Classic Short","These shorts are the ultimate comfortable, everyday short with a luxuriously soft lived-in feel that you'll never want to take off. Our unique bamboo jersey fabric is paired with all the functional de","The Carrollton Classic Short Anchor. These shorts are the ultimate comfortable, everyday short with a luxuriously soft feel that you'll never want to take off.","Yes","Product","Yes","No","Yes","31","5","4","","","Add reviews/ratings to JSON-LD; Title may be too short"
"carrollton-lightweight-hoodie-jaspe-1","https://tascperformance.com/products/carrollton-lightweight-hoodie-jaspe-1","Carrollton Lightweight Hoodie - Jaspe","If you're looking for the best lightweight hoodie for men, look no further. Introducing the Men's Carrollton Lightweight Hoodie. With a functional hood, thumbholes, and long sleeves, this lightweight ","If you're looking for the best lightweight hoodie for men, look no further. Introducing the Men's Carrollton Lightweight Hoodie: Papaya Jaspe.","Yes","Product","Yes","No","Yes","40","5","4","","","Add reviews/ratings to JSON-LD"
"carrollton-lightweight-hoodie-23","https://tascperformance.com/products/carrollton-lightweight-hoodie-23","Carrollton Lightweight Hoodie","If you're looking for the best lightweight hoodie for men, look no further. Introducing the Men's Carrollton Lightweight Hoodie. With a functional hood, thumbholes, and long sleeves, this lightweight ","If you're looking for the best lightweight hoodie for men, look no further. Introducing the Men's Carrollton Lightweight Hoodie: Meadowbrook Heather.","Yes","Product","Yes","No","Yes","40","5","4","","","Add reviews/ratings to JSON-LD; Title may be too short"
"carrollton-long-sleeve-fitness-t-shirt-jaspe-1","https://tascperformance.com/products/carrollton-long-sleeve-fitness-t-shirt-jaspe-1","Carrollton Long Sleeve Fitness T-Shirt - Jaspe","When you work hard, your clothing should too. Meet the Carrollton Long Sleeve Fitness T-Shirt, a long-sleeve version of our best-selling crew neck. Just like its short-sleeved predecessor, this style ","The Carrollton Long Sleeve Fitness T-Shirt Papaya Jaspe, a long-sleeve version of our best-selling tee. Engineered to keep up with your fast-paced lifestyle.","Yes","Product","Yes","No","Yes","39","5","4","","","Add reviews/ratings to JSON-LD"
"carrollton-long-sleeve-fitness-t-shirt-24","https://tascperformance.com/products/carrollton-long-sleeve-fitness-t-shirt-24","Carrollton Long Sleeve Fitness T-Shirt","When you work hard, your clothing should too. Meet the Carrollton Long Sleeve Fitness T-Shirt, a long-sleeve version of our best-selling crew neck. Just like its short-sleeved predecessor, this style ","The Carrollton Long Sleeve Fitness T-Shirt Meadowbrook, a long-sleeve version of our best-selling tee. Engineered to keep up with your fast-paced lifestyle.","Yes","Product","Yes","No","Yes","34","5","4","","","Add reviews/ratings to JSON-LD"
"carrollton-fitness-t-shirt-mini-stripe-8","https://tascperformance.com/products/carrollton-fitness-t-shirt-mini-stripe-8","Carrollton Fitness T-Shirt - Mini Stripe","Our Carrollton Fitness T-Shirt is about performance powered by nature. This T- Shirt is made from bamboo and organic cotton, a performance tee that is temperature regulating and versatile. It can with","Our Carrollton Fitness T-Shirt Meadowbrook/Marble is made from bamboo and organic cotton, a performance tee that is temperature regulating and versatile.","Yes","Product","Yes","No","Yes","41","5","2","","","Add reviews/ratings to JSON-LD"
"carrollton-fitness-t-shirt-jaspe-1","https://tascperformance.com/products/carrollton-fitness-t-shirt-jaspe-1","Carrollton Fitness T-Shirt - Jaspe","Our Carrollton Fitness T-Shirt is about performance powered by nature. This T- Shirt is made from bamboo and organic cotton, a performance tee that is temperature regulating and versatile. It can with","Our Carrollton Fitness T-Shirt Papaya Jaspe is made from bamboo and organic cotton, a performance tee that is temperature regulating and versatile.","Yes","Product","Yes","No","Yes","41","5","4","","","Add reviews/ratings to JSON-LD"
"carrollton-fitness-t-shirt-42","https://tascperformance.com/products/carrollton-fitness-t-shirt-42","Carrollton Fitness T-Shirt","Our Carrollton Fitness T-Shirt is about performance powered by nature. This T- Shirt is made from bamboo and organic cotton, a performance tee that is temperature regulating and versatile. It can with","Our Carrollton Fitness T-Shirt Meadowbrook Heather is made from bamboo and organic cotton, a performance tee that is temperature regulating and versatile.","Yes","Product","Yes","No","Yes","40","5","4","","","Add reviews/ratings to JSON-LD; Title may be too short"
"carrollton-fitness-t-shirt-41","https://tascperformance.com/products/carrollton-fitness-t-shirt-41","Carrollton Fitness T-Shirt","Our Carrollton Fitness T-Shirt is about performance powered by nature. This T- Shirt is made from bamboo and organic cotton, a performance tee that is temperature regulating and versatile. It can with","Our Carrollton Fitness T-Shirt Heritage Blue is made from bamboo and organic cotton, a performance tee that is temperature regulating and versatile.","Yes","Product","Yes","No","Yes","40","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"carrollton-lightweight-quarter-zip-8","https://tascperformance.com/products/carrollton-lightweight-quarter-zip-8","Carrollton Lightweight Quarter Zip","Made from a fabric that is optimized for any activity, the Carrollton Lightweight Quarter Zip performs exceptionally. This lightweight layer is made to transition from season to season and activity to","The Carrollton Quarter Zip: Classic Navy/Brick Heather. Made to transition from season to season. Moisture wicking, breathable, anti-odor, and comfortable.","Yes","Product","No","Yes","Yes","41","5","4","","","Add brand to JSON-LD"
"carrollton-lightweight-quarter-zip-7","https://tascperformance.com/products/carrollton-lightweight-quarter-zip-7","Carrollton Lightweight Quarter Zip","Made from a fabric that is optimized for any activity, the Carrollton Lightweight Quarter Zip performs exceptionally. This lightweight layer is made to transition from season to season and activity to","The Carrollton Quarter Zip: Classic Navy/Brick Heather. Made to transition from season to season. Moisture wicking, breathable, anti-odor, and comfortable.","Yes","Product","No","Yes","Yes","40","5","4","","","Add brand to JSON-LD"
"sculptive-rib-pocket-flare-pant-3","https://tascperformance.com/products/sculptive-rib-pocket-flare-pant-3","Sculptive Rib Pocket Flare Pant","By popular demand, our bestselling Sculptive Collection is back with an all-new style: meet the Sculptive Rib Pocket Flare Pant. Made from the same smooth &amp; supportive Sculptive fabric you love, b","With a buttery smooth feel with an added flare, this pant is made for low-impact movement and made to handle any yoga class, morning walks, barre, and more.","Yes","Product","Yes","No","Yes","28","5","4","","","Add reviews/ratings to JSON-LD"
"sculptive-rib-crop-tank-3","https://tascperformance.com/products/sculptive-rib-crop-tank-3","Sculptive Rib Crop Tank","We're here to support the way you move – that's why we added a double layer into our new Sculptive Rib Crop Tank. Perfectly sculpting with ribbed detailing, this top is ready to take you from studio t","Sculptive Rib Crop Tank: Sculpting with ribbed detailing, this top is ready to take you from studio to street. Pair with our Sculptive Rib Pocket Flare Pant.","Yes","Product","No","Yes","Yes","32","5","5","","","Add brand to JSON-LD; Title may be too short"
"favorite-cardigan-1","https://tascperformance.com/products/favorite-cardigan-1","Favorite Cardigan","Designed to move seamlessly from morning errands to evening plans, this lightweight cardigan is the ultimate grab-and-go layer. Crafted from an ultra-soft, breathable jersey fabric, it delivers comfor","Designed to move seamlessly from morning errands to evening plans, this lightweight cardigan in Coconut Heather is the ultimate grab-and-go layer.","Yes","Product","Yes","No","Yes","32","5","4","","","Add reviews/ratings to JSON-LD; Title may be too short"
"favorite-cardigan","https://tascperformance.com/products/favorite-cardigan","Favorite Cardigan","Designed to move seamlessly from morning errands to evening plans, this lightweight cardigan is the ultimate grab-and-go layer. Crafted from an ultra-soft, breathable jersey fabric, it delivers comfor","Designed to move seamlessly from morning errands to evening plans, this lightweight cardigan in classic black is the ultimate grab-and-go layer.","Yes","Product","Yes","No","Yes","31","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"bambare-boxer-brief-5","https://tascperformance.com/products/bambare-boxer-brief-5","BamBare Boxer Brief","We got tired of sweaty and smelly undershirts and underwear. The BamBare Boxer Brief is smarter than your average underwear because it feels as soft as your favorite under clothes but has the qualitie","We got tired of sweaty and smelly undershirts and underwear. The BamBare Boxer Brief is smarter than your average underwear because it feels as soft as your favorite under clothes but has the qualities and function of your favorite workout clothes. Provides excellent support and comfort. Style #TMBB10.","Yes","Product","Yes","No","Yes","30","5","2","","","Add reviews/ratings to JSON-LD; Title may be too short"
"french-terry-polo-sweatshirt-2","https://tascperformance.com/products/french-terry-polo-sweatshirt-2","French Terry Polo Sweatshirt","Elevate your casual wardrobe with the French Terry Polo Sweatshirt. Crafted from soft French terry, this relaxed-fit style features a self polo collar for a laid-back yet polished look. The raw edge h","Elevate your casual wardrobe with the French Terry Polo Sweatshirt. Crafted from soft French terry, this relaxed-fit style features a self polo collar for a laid-back yet polished look. The raw edge hem at the sleeves and bottom adds a touch of modern, effortless detail. Perfect for layering or wearing on its own, this","Yes","Product","Yes","No","Yes","33","5","3","","","Add reviews/ratings to JSON-LD; Title may be too short"
"carrollton-classic-pant-2","https://tascperformance.com/products/carrollton-classic-pant-2","Carrollton Classic Pant","Your favorite everyday pant just got an upgrade - meet the NEW Carrollton Classic Pant. Looking for that luxuriously soft lived-in feel with enhanced performance to match? Look no further. We replaced","The Carrollton Classic Pant Navy. Luxuriously soft lived-in feel with enhanced performance to match. Functional, comfortable, and extremely versatile.","Yes","Product","Yes","No","Yes","31","5","3","","","Add reviews/ratings to JSON-LD; Title may be too short"
"carrollton-ls-6","https://tascperformance.com/products/carrollton-ls-6","Carrollton Long Sleeve Fitness T-Shirt","When you work hard, your clothing should too. Meet the Carrollton Long Sleeve Fitness T-Shirt, a long-sleeve version of our best-selling crew neck. Just like its short-sleeved predecessor, this style ","The Carrollton Long Sleeve Fitness T-Shirt Navy Heather, a long-sleeve version of our best-selling tee. Engineered to keep up with your fast-paced lifestyle.","Yes","Product","Yes","No","Yes","40","5","6","","","Add reviews/ratings to JSON-LD"
"bambare-boxer-brief-4-pack","https://tascperformance.com/products/bambare-boxer-brief-4-pack","BamBare Boxer Brief 4 Pack","The BamBare Boxer Briefs you know and love now available in a 4-Pack Bundle with a bamboo washable bag. Bundle and save on these life changing underwear. Style #TM4BB. Contains: 2 Pairs of Black BamBa","The BamBare Boxer Briefs you know and love now available in a 4-Pack Bundle with a bamboo washable bag. Bundle and save on these life changing underwear. Style #TM4BB. Contains: 2 Pairs of Black BamBare Boxer Briefs  2 Pairs of Storm BamBare Boxer Briefs 1 Bamboo Bag","Yes","Product","Yes","No","Yes","23","5","6","","","Add reviews/ratings to JSON-LD; Title may be too short"
"all-day-short-sleeve-t-shirt-15","https://tascperformance.com/products/all-day-short-sleeve-t-shirt-15","All Day Short Sleeve T-Shirt","This wear-anywhere, do-everything All Day T-Shirt is made for those on the move. It's perfect for high-intensity workouts or paired with leggings for a casual look. Durable, insanely soft tees that yo","The All Day Short Sleeve T-Shirt is made with lightweight, breathable, moisture-wicking bamboo fabrication, this is your favorite go-to tee.","Yes","Product","Yes","No","Yes","24","5","4","","","Add reviews/ratings to JSON-LD; Title may be too short"
"carrollton-long-sleeve-t-shirt-mg-2026","https://tascperformance.com/products/carrollton-long-sleeve-t-shirt-mg-2026","Carrollton Long Sleeve T-Shirt - Mardi Gras 2026","When you parade hard, your clothing should too. Meet the Carrollton Long Sleeve Fitness T-Shirt, a long-sleeve version of our best-selling crew neck. Just like its short-sleeved predecessor, this styl","Meet the Carrollton Long Sleeve Fitness T-Shirt: versatile, comfortable and engineered to keep up with your Carnival schedule.","Yes","Product","Yes","No","Yes","24","5","4","","","Add reviews/ratings to JSON-LD"
"jester-fleur-t-shirt-mardi-gras-2006","https://tascperformance.com/products/jester-fleur-t-shirt-mardi-gras-2006","Jester Fleur T-Shirt - Mardi Gras 2026","Celebrate Mardi Gras the New Orleans way with our Jester Fleur T-Shirt. Made to parade, this t-shirt will keep you comfortable and festive during all your Carnival activities.","Celebrate Mardi Gras the New Orleans way with our Jester Fleur T-Shirt. This t-shirt will keep you comfortable and festive during all your Carnival activities.","Yes","Product","Yes","No","Yes","20","5","4","","","Add reviews/ratings to JSON-LD"
"nola-long-sleeve-t-shirt-mardi-gras-2026","https://tascperformance.com/products/nola-long-sleeve-t-shirt-mardi-gras-2026","NOLA Long Sleeve T-Shirt - Mardi Gras 2026","The Women's NOLA Long Sleeve isn't your average long sleeve top. A light and breathable active top, it's designed to naturally wick moisture away from the body and protect your skin from the sun. Feat","The NOLA Long Sleeve is a light and breathable active top, designed to naturally wick moisture away from the body and protect your skin from the sun.","Yes","Product","Yes","No","Yes","21","5","3","","","Add reviews/ratings to JSON-LD"
"bead-gator-t-shirt-mardi-gras-2026","https://tascperformance.com/products/bead-gator-t-shirt-mardi-gras-2026","Bead Gator T-Shirt - Mardi Gras 2026","Celebrate Mardi Gras the New Orleans way with our Bead Gator T-Shirt. Made for beads, bites, and Mardi Gras nights, this t-shirt will keep you comfortable and festive during all your Carnival activiti","Made for beads, bites, and Mardi Gras nights, this t-shirt will keep you comfortable and festive during all your Carnival activities.","Yes","Product","Yes","No","Yes","24","5","4","","","Add reviews/ratings to JSON-LD"
"scrunchie","https://tascperformance.com/products/scrunchie","Scrunchie","Now you can accessorize your style with scrunchies made from the bestselling bamboo fabric you know and love!","Now you can accessorize your style with scrunchies made from the bestselling bamboo fabric you know and love!","Yes","Product","Yes","No","Yes","6","1","1","","","Add reviews/ratings to JSON-LD; Meta description too short (<120 chars); Title may be too short"
"twist-headband-1","https://tascperformance.com/products/twist-headband-1","Twist Headband","You asked, we deliver: accessories are here! Made from our signature bamboo fabric you know and love, we created the new Twist Headband. Lightweight, breathable, and moisture-wicking, it's perfect for","You asked, we deliver: accessories are here! Made from our signature bamboo fabric you know and love, we created the new Twist Headband. Lightweight, breathable, and moisture-wicking, it's perfect for your next workout or for everyday accessorizing. ","Yes","Product","Yes","No","Yes","11","1","2","","","Add reviews/ratings to JSON-LD; Title may be too short"
"bamboo-silk-sleep-short-sleeve-henley-3","https://tascperformance.com/products/bamboo-silk-sleep-short-sleeve-henley-3","Bamboo Silk Sleep Short Sleeve Henley","You asked, we delivered. Our Luxury Sleepwear collection is back. We heard your requests to enhance the sleepwear you already love, and we've made it even better. With a new color and updated fits for","You asked, we delivered. Our Luxury Sleepwear collection is back. We heard your requests to enhance the sleepwear you already love, and we've made it even better. With a new color and updated fits for more coverage - it's the most comfortable sleepwear you could ever dream of, but you can wear it anywhere - grab the mo","Yes","Product","Yes","No","Yes","20","5","5","","","Add reviews/ratings to JSON-LD"
"microluxe-rib-sleep-pant-m-3","https://tascperformance.com/products/microluxe-rib-sleep-pant-m-3","MicroLuxe Rib Sleep Pant M","You asked, we delivered. Our Luxury Sleepwear collection is back. We heard your requests to enhance the sleepwear you already love, and we've made it even better. With a new palette and updated fits f","You asked, we delivered. Our Luxury Sleepwear collection is back. We heard your requests to enhance the sleepwear you already love, and we've made it even better. With a new palette and updated fits for more coverage - it's the most comfortable sleepwear you could ever dream of, but you can wear it any where - grab the","Yes","Product","Yes","No","Yes","15","5","4","","","Add reviews/ratings to JSON-LD; Title may be too short"
"microluxe-rib-sleep-long-sleeve-3","https://tascperformance.com/products/microluxe-rib-sleep-long-sleeve-3","MicroLuxe Rib Sleep Long Sleeve","You asked, we delivered. Our Luxury Sleepwear collection is back. We heard your requests to enhance the sleepwear you already love, and we've made it even better. With a new color palette and updated ","You asked, we delivered. Our Luxury Sleepwear collection is back. We heard your requests to enhance the sleepwear you already love, and we've made it even better. With a new color palette and updated fits for more coverage - this sleepwear is made for the sheets and the streets, so you can grab the morning paper or tra","Yes","Product","Yes","No","Yes","14","5","5","","","Add reviews/ratings to JSON-LD"
"bamboo-silk-robe-1","https://tascperformance.com/products/bamboo-silk-robe-1","Bamboo Silk Robe","Experience the Ultimate in Sleep Luxury. Our popular Luxury Sleepwear collection returns, reimagined for even greater comfort. The Bamboo Silk Sleep Robe is the perfect blend of warmth and breathabili","Experience the Ultimate in Sleep Luxury. Our popular Luxury Sleepwear collection returns, reimagined for even greater comfort. The Bamboo Silk Sleep Robe is the perfect blend of warmth and breathability. Its slightly heavier weight keeps you cozy on chilly nights, while offering a relaxed, effortless fit. Indulge in th","Yes","Product","Yes","No","Yes","18","3","4","","","Add reviews/ratings to JSON-LD; Title may be too short"
"bamboo-silk-robe","https://tascperformance.com/products/bamboo-silk-robe","Bamboo Silk Robe","Experience the Ultimate in Sleep Luxury. Our popular Luxury Sleepwear collection returns, reimagined for even greater comfort. The Bamboo Silk Sleep Robe is the perfect blend of warmth and breathabili","Experience the Ultimate in Sleep Luxury. Our popular Luxury Sleepwear collection returns, reimagined for even greater comfort. The Bamboo Silk Sleep Robe is the perfect blend of warmth and breathability. Its slightly heavier weight keeps you cozy on chilly nights, while offering a relaxed, effortless fit. Indulge in th","Yes","Product","Yes","No","Yes","22","3","4","","","Add reviews/ratings to JSON-LD; Title may be too short"
"bamboo-silk-sleep-dress-1","https://tascperformance.com/products/bamboo-silk-sleep-dress-1","Bamboo Silk Sleep Dress","By popular demand, our Luxury Sleepwear collection is back &amp; softer than ever. Meet the all-new Bamboo Silk Sleep Dress - we’ve taken our bestselling, luxurious bamboo silk fabric to create the mo","By popular demand, our Luxury Sleepwear collection is back &amp; softer than ever.  Meet the all-new Bamboo Silk Sleep Dress - we’ve taken our bestselling, luxurious bamboo silk fabric to create the most luxuriously comfortable sleepwear with a slightly heavier weight (for those extra cold nights) and flowy curved shir","Yes","Product","Yes","No","Yes","20","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"bamboo-silk-sleep-dress","https://tascperformance.com/products/bamboo-silk-sleep-dress","Bamboo Silk Sleep Dress","By popular demand, our Luxury Sleepwear collection is back &amp; softer than ever. Meet the all-new Bamboo Silk Sleep Dress - we’ve taken our bestselling, luxurious bamboo silk fabric to create the mo","By popular demand, our Luxury Sleepwear collection is back &amp; softer than ever.  Meet the all-new Bamboo Silk Sleep Dress - we’ve taken our bestselling, luxurious bamboo silk fabric to create the most luxuriously comfortable sleepwear with a slightly heavier weight (for those extra cold nights) and flowy curved shir","Yes","Product","Yes","No","Yes","19","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"microluxe-rib-sleep-pant-3","https://tascperformance.com/products/microluxe-rib-sleep-pant-3","MicroLuxe Rib Sleep Pant","You asked, we delivered. Our Luxury Sleepwear collection is back. We heard your requests to enhance the sleepwear you already love, and we've made it even better. With new colors and updated fits for ","You asked, we delivered. Our Luxury Sleepwear collection is back. We heard your requests to enhance the sleepwear you already love, and we've made it even better. With new colors and updated fits for more coverage - it's the most comfortable sleepwear you could ever dream of, but you can wear it anywhere - grab the mor","Yes","Product","Yes","No","Yes","20","5","4","","","Add reviews/ratings to JSON-LD; Title may be too short"
